"housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
41,880,129,322,126,8.3252,452600,"NEAR BAY"
21,7099,1106,2401,1138,8.3014,358500,"NEAR BAY"
52,1467,190,496,177,7.2574,352100,"NEAR BAY"
52,1274,235,558,219,5.6431,341300,"NEAR BAY"
52,1627,280,565,259,3.8462,342200,"NEAR BAY"
52,919,213,413,193,4.0368,269700,"NEAR BAY"
52,2535,489,1094,514,3.6591,299200,"NEAR BAY"
52,3104,687,1157,647,3.12,241400,"NEAR BAY"
42,2555,665,1206,595,2.0804,226700,"NEAR BAY"
52,3549,707,1551,714,3.6912,261100,"NEAR BAY"
52,2202,434,910,402,3.2031,281500,"NEAR BAY"
52,3503,752,1504,734,3.2705,241800,"NEAR BAY"
52,2491,474,1098,468,3.075,213500,"NEAR BAY"
52,696,191,345,174,2.6736,191300,"NEAR BAY"
52,2643,626,1212,620,1.9167,159200,"NEAR BAY"
50,1120,283,697,264,2.125,140000,"NEAR BAY"
52,1966,347,793,331,2.775,152500,"NEAR BAY"
52,1228,293,648,303,2.1202,155500,"NEAR BAY"
50,2239,455,990,419,1.9911,158700,"NEAR BAY"
52,1503,298,690,275,2.6033,162900,"NEAR BAY"
40,751,184,409,166,1.3578,147500,"NEAR BAY"
42,1639,367,929,366,1.7135,159800,"NEAR BAY"
52,2436,541,1015,478,1.725,113900,"NEAR BAY"
52,1688,337,853,325,2.1806,99700,"NEAR BAY"
52,2224,437,1006,422,2.6,132600,"NEAR BAY"
41,535,123,317,119,2.4038,107500,"NEAR BAY"
49,1130,244,607,239,2.4597,93800,"NEAR BAY"
52,1898,421,1102,397,1.808,105500,"NEAR BAY"
50,2082,492,1131,473,1.6424,108900,"NEAR BAY"
52,729,160,395,155,1.6875,132000,"NEAR BAY"
49,1916,447,863,378,1.9274,122300,"NEAR BAY"
52,2153,481,1168,441,1.9615,115200,"NEAR BAY"
48,1922,409,1026,335,1.7969,110400,"NEAR BAY"
49,1655,366,754,329,1.375,104900,"NEAR BAY"
51,2665,574,1258,536,2.7303,109700,"NEAR BAY"
49,1215,282,570,264,1.4861,97200,"NEAR BAY"
48,1798,432,987,374,1.0972,104500,"NEAR BAY"
52,1511,390,901,403,1.4103,103900,"NEAR BAY"
52,1470,330,689,309,3.48,191400,"NEAR BAY"
52,2432,715,1377,696,2.5898,176000,"NEAR BAY"
52,1665,419,946,395,2.0978,155400,"NEAR BAY"
51,936,311,517,249,1.2852,150000,"NEAR BAY"
49,713,202,462,189,1.025,118800,"NEAR BAY"
52,950,202,467,198,3.9643,188800,"NEAR BAY"
52,1443,311,660,292,3.0125,184400,"NEAR BAY"
52,1656,420,718,382,2.6768,182300,"NEAR BAY"
50,1125,322,616,304,2.026,142500,"NEAR BAY"
43,1007,312,558,253,1.7348,137500,"NEAR BAY"
40,624,195,423,160,0.9506,187500,"NEAR BAY"
40,946,375,700,352,1.775,112500,"NEAR BAY"
21,896,453,735,438,0.9218,171900,"NEAR BAY"
43,1868,456,1061,407,1.5045,93800,"NEAR BAY"
41,3221,853,1959,720,1.1108,97500,"NEAR BAY"
52,1630,456,1162,400,1.2475,104200,"NEAR BAY"
52,1170,235,701,233,1.6098,87500,"NEAR BAY"
52,945,243,576,220,1.4113,83100,"NEAR BAY"
52,1238,288,622,259,1.5057,87500,"NEAR BAY"
52,1489,335,728,244,0.8172,85300,"NEAR BAY"
52,1387,341,1074,304,1.2171,80300,"NEAR BAY"
2,158,43,94,57,2.5625,60000,"NEAR BAY"
52,1121,211,554,187,3.3929,75700,"NEAR BAY"
49,135,29,86,23,6.1183,75000,"NEAR BAY"
50,760,190,377,122,0.9011,86100,"NEAR BAY"
52,1224,237,521,159,1.191,76100,"NEAR BAY"
48,828,182,392,133,2.5938,73500,"NEAR BAY"
52,1010,209,604,187,1.1667,78400,"NEAR BAY"
48,1455,354,788,332,0.8056,84400,"NEAR BAY"
52,1027,244,492,147,2.6094,81300,"NEAR BAY"
52,572,109,274,82,1.8516,85000,"NEAR BAY"
46,2801,644,1823,611,0.9802,129200,"NEAR BAY"
26,768,152,392,127,1.7719,82500,"NEAR BAY"
46,935,297,582,277,0.7286,95200,"NEAR BAY"
49,844,204,560,152,1.75,75000,"NEAR BAY"
46,12,4,18,7,0.4999,67500,"NEAR BAY"
20,835,161,290,133,2.483,137500,"NEAR BAY"
17,1237,462,762,439,0.9241,177500,"NEAR BAY"
36,2914,562,1236,509,2.4464,102100,"NEAR BAY"
19,1207,243,721,207,1.1111,108300,"NEAR BAY"
23,1745,374,1054,325,0.8026,112500,"NEAR BAY"
38,684,176,344,155,2.0114,131300,"NEAR BAY"
17,924,289,609,289,1.5,162500,"NEAR BAY"
52,210,56,183,56,1.1667,112500,"NEAR BAY"
52,340,97,200,87,1.5208,112500,"NEAR BAY"
52,386,164,346,155,0.8075,137500,"NEAR BAY"
35,948,184,467,169,1.8088,118800,"NEAR BAY"
52,773,143,377,115,2.4083,98200,"NEAR BAY"
40,880,451,582,380,0.977,118800,"NEAR BAY"
10,875,348,546,330,0.76,162500,"NEAR BAY"
10,105,42,125,39,0.9722,137500,"NEAR BAY"
52,249,78,396,85,1.2434,500001,"NEAR BAY"
16,994,392,800,362,2.0938,162500,"NEAR BAY"
52,215,87,904,88,0.8668,137500,"NEAR BAY"
52,96,31,191,34,0.75,162500,"NEAR BAY"
27,1055,347,718,302,2.6354,187500,"NEAR BAY"
39,1715,623,1327,467,1.8477,179200,"NEAR BAY"
36,5329,2477,3469,2323,2.0096,130000,"NEAR BAY"
31,4596,1331,2048,1180,2.8345,183800,"NEAR BAY"
29,335,107,202,91,2.0062,125000,"NEAR BAY"
22,3682,1270,2024,1250,1.2185,170000,"NEAR BAY"
37,3633,1085,1838,980,2.6104,193100,"NEAR BAY"
29,4656,1414,2304,1250,2.4912,257800,"NEAR BAY"
28,5806,1603,2563,1497,3.2177,273400,"NEAR BAY"
39,854,242,389,228,3.125,237500,"NEAR BAY"
52,2155,701,895,613,2.5795,350000,"NEAR BAY"
34,5871,1914,2689,1789,2.8406,335700,"NEAR BAY"
52,1509,225,674,244,4.9306,313400,"NEAR BAY"
52,2026,482,709,456,3.2727,268500,"NEAR BAY"
52,1758,460,686,422,3.1691,259400,"NEAR BAY"
52,3481,751,1444,718,3.9,275700,"NEAR BAY"
28,3337,855,1520,802,3.9063,225000,"NEAR BAY"
52,1424,289,550,253,5.0917,262500,"NEAR BAY"
32,3809,1098,1806,1022,2.6429,218500,"NEAR BAY"
26,3959,1196,1749,1217,3.0233,255000,"NEAR BAY"
52,2376,559,939,519,3.1484,224100,"NEAR BAY"
35,1613,428,675,422,3.4722,243100,"NEAR BAY"
52,1279,287,534,291,3.1429,231600,"NEAR BAY"
28,5022,1750,2558,1661,2.4234,218500,"NEAR BAY"
52,4190,1105,1786,1037,3.0897,234100,"NEAR BAY"
50,2515,399,970,373,5.8596,327600,"NEAR BAY"
47,3175,454,1098,485,5.2868,347600,"NEAR BAY"
41,2576,406,794,376,5.956,366100,"NEAR BAY"
37,334,54,98,47,4.9643,335000,"NEAR BAY"
52,2800,411,1061,403,6.3434,373600,"NEAR BAY"
52,3529,574,1177,555,5.1773,389500,"NEAR BAY"
52,2612,365,901,367,7.2354,391100,"NEAR BAY"
28,5287,1048,2031,956,5.457,337300,"NEAR BAY"
50,2935,473,1031,479,7.5,295200,"NEAR BAY"
44,3424,597,1358,597,6.0194,292300,"NEAR BAY"
40,4991,674,1616,654,7.5544,411500,"NEAR BAY"
30,2211,346,844,343,6.0666,311500,"NEAR BAY"
34,3038,490,1140,496,7.0548,325900,"NEAR BAY"
18,1617,210,533,194,11.6017,392600,"NEAR BAY"
35,2865,460,1072,443,7.4882,319300,"NEAR BAY"
34,5065,788,1627,766,6.8976,333300,"NEAR BAY"
28,1326,184,463,190,8.2049,335200,"NEAR BAY"
26,1589,223,542,211,8.401,351200,"NEAR BAY"
29,1791,271,661,269,6.8538,368900,"NEAR BAY"
32,1835,264,635,263,8.317,365900,"NEAR BAY"
37,1229,181,420,176,7.0175,366700,"NEAR BAY"
39,3770,534,1265,500,6.3302,362800,"NEAR BAY"
30,292,38,126,52,6.3624,483300,"NEAR BAY"
52,2375,333,813,350,7.0549,331400,"NEAR BAY"
45,2964,436,1067,426,6.7851,323500,"NEAR BAY"
50,2833,605,1260,552,2.8929,216700,"NEAR BAY"
38,2254,535,951,487,3.0812,233100,"NEAR BAY"
52,1389,212,510,224,5.2402,296400,"NEAR BAY"
52,1971,335,765,308,6.5217,273700,"NEAR BAY"
52,2183,465,1129,460,3.2632,227700,"NEAR BAY"
52,2286,464,1073,441,3.0298,199600,"NEAR BAY"
52,2721,541,1185,515,4.5428,239800,"NEAR BAY"
52,2024,339,756,340,4.072,270100,"NEAR BAY"
52,2944,536,1034,521,5.3509,302100,"NEAR BAY"
52,2033,486,787,459,3.1603,269500,"NEAR BAY"
52,1433,229,612,213,4.7708,314700,"NEAR BAY"
52,2927,402,1021,380,8.1564,390100,"NEAR BAY"
52,2315,292,861,258,8.8793,410300,"NEAR BAY"
52,2485,313,953,327,6.8591,352400,"NEAR BAY"
52,1490,238,634,256,6.0302,287300,"NEAR BAY"
52,2814,365,878,352,7.508,348700,"NEAR BAY"
52,2093,550,918,483,2.7477,243800,"NEAR BAY"
52,888,168,360,175,2.1944,211500,"NEAR BAY"
52,2087,510,1197,488,3.0149,218400,"NEAR BAY"
52,2513,502,1048,518,3.675,269900,"NEAR BAY"
46,3232,835,1373,747,3.225,218800,"NEAR BAY"
42,4120,1065,1715,1015,2.9345,225000,"NEAR BAY"
43,2364,792,1359,722,2.1429,250000,"NEAR BAY"
41,1471,469,1062,413,1.6121,171400,"NEAR BAY"
29,2468,864,1335,773,1.3929,193800,"NEAR BAY"
27,1632,492,1171,429,2.3173,125000,"NEAR BAY"
45,1786,526,1475,460,1.7772,97500,"NEAR BAY"
50,629,188,742,196,2.6458,125000,"NEAR BAY"
52,1339,391,1086,363,2.181,138800,"NEAR BAY"
36,1678,606,1645,543,2.2303,116700,"NEAR BAY"
43,2344,647,1710,644,1.6504,151800,"NEAR BAY"
52,996,228,731,228,2.2697,127000,"NEAR BAY"
52,1591,373,1118,347,2.1563,128600,"NEAR BAY"
52,1586,398,1006,335,2.1348,140600,"NEAR BAY"
47,2046,588,1213,554,2.6292,182700,"NEAR BAY"
52,1192,289,772,257,2.3833,146900,"NEAR BAY"
52,1803,420,1321,401,2.957,122800,"NEAR BAY"
49,2838,749,1487,677,2.5238,169300,"NEAR BAY"
52,783,184,488,186,1.9375,126600,"NEAR BAY"
51,1590,414,949,392,1.9028,127900,"NEAR BAY"
50,1746,480,1149,415,2.25,123500,"NEAR BAY"
52,1252,299,844,280,2.3929,111900,"NEAR BAY"
43,5963,1344,4367,1231,2.1917,112800,"NEAR BAY"
52,1783,395,1659,412,2.9357,107900,"NEAR BAY"
30,999,264,1011,263,1.8854,137500,"NEAR BAY"
39,1469,431,1464,389,2.1638,105500,"NEAR BAY"
47,1372,395,1237,303,2.125,95500,"NEAR BAY"
52,674,180,647,168,3.375,116100,"NEAR BAY"
43,1626,376,1284,357,2.2542,112200,"NEAR BAY"
51,175,43,228,55,2.1,75000,"NEAR BAY"
39,461,129,381,123,1.6,112500,"NEAR BAY"
52,902,237,846,227,3.625,125000,"NEAR BAY"
20,2373,779,1659,676,1.6929,115000,"NEAR BAY"
52,391,128,520,138,1.6471,95000,"NEAR BAY"
52,1137,301,866,259,2.59,96400,"NEAR BAY"
52,769,206,612,183,2.57,72000,"NEAR BAY"
52,472,146,415,126,2.6429,71300,"NEAR BAY"
52,862,215,994,213,3.0257,80800,"NEAR BAY"
50,1920,530,1525,477,1.4886,128800,"NEAR BAY"
43,1420,472,1506,438,1.9338,112500,"NEAR BAY"
52,986,258,1008,255,1.4844,119400,"NEAR BAY"
44,2340,825,2813,751,1.6009,118100,"NEAR BAY"
48,1696,396,1481,343,2.0375,122500,"NEAR BAY"
49,1175,217,859,219,2.293,106300,"NEAR BAY"
37,2343,574,1608,523,2.1494,132500,"NEAR BAY"
30,610,145,425,140,1.6198,122700,"NEAR BAY"
40,930,199,564,184,1.3281,113300,"NEAR BAY"
44,1487,314,961,272,3.5156,109500,"NEAR BAY"
52,3424,690,2273,685,3.9048,164700,"NEAR BAY"
52,762,190,600,195,3.0893,125000,"NEAR BAY"
46,2366,575,1647,527,2.6042,124700,"NEAR BAY"
49,1826,450,1201,424,2.5,136700,"NEAR BAY"
38,3049,711,2167,659,2.7969,141700,"NEAR BAY"
29,1640,376,939,340,2.8321,150000,"NEAR BAY"
47,1543,307,859,292,2.9583,138800,"NEAR BAY"
34,2364,557,1517,516,2.8365,139200,"NEAR BAY"
35,1745,409,1143,386,2.875,143800,"NEAR BAY"
39,2003,500,1109,464,3.0682,156500,"NEAR BAY"
39,2018,447,1221,446,3.0757,151000,"NEAR BAY"
43,3045,499,1115,455,4.9559,273000,"NEAR BAY"
52,1547,293,706,268,4.7721,217100,"NEAR BAY"
52,3519,711,1883,706,3.4861,187100,"NEAR BAY"
41,2070,354,804,340,5.1184,239600,"NEAR BAY"
48,1321,263,506,252,4.0977,229700,"NEAR BAY"
48,1694,259,610,238,4.744,257300,"NEAR BAY"
46,1938,341,768,332,4.2727,246900,"NEAR BAY"
50,968,195,462,184,2.9844,179900,"NEAR BAY"
40,1060,256,667,235,4.1739,169600,"NEAR BAY"
46,2041,405,1059,399,3.8487,203300,"NEAR BAY"
52,1813,271,637,277,4.0114,263400,"NEAR BAY"
45,2718,451,1106,454,4.6563,231800,"NEAR BAY"
28,3144,761,1737,669,2.9297,140500,"NEAR BAY"
35,1802,459,1009,390,2.3036,126000,"NEAR BAY"
49,882,195,737,210,2.6667,122000,"NEAR BAY"
44,1621,452,1354,491,2.619,134700,"NEAR BAY"
45,2115,533,1530,474,2.4167,139400,"NEAR BAY"
45,2021,528,1410,480,2.7788,115400,"NEAR BAY"
46,2239,508,1390,569,2.7352,137300,"NEAR BAY"
52,1477,300,1065,269,1.8472,137000,"NEAR BAY"
52,1056,224,792,245,2.6583,142600,"NEAR BAY"
49,898,244,779,245,3.0536,137500,"NEAR BAY"
44,2968,710,2269,610,2.3906,111700,"NEAR BAY"
43,1702,460,1227,407,1.7188,126800,"NEAR BAY"
47,881,248,753,241,2.625,111300,"NEAR BAY"
40,494,114,547,135,2.8015,114800,"NEAR BAY"
50,1776,473,1807,440,1.7276,102300,"NEAR BAY"
44,1678,514,1700,495,2.0801,131900,"NEAR BAY"
51,1637,463,1543,393,2.489,119100,"NEAR BAY"
52,1420,314,1085,300,1.7546,80600,"NEAR BAY"
52,591,173,353,137,4.0904,80600,"NEAR BAY"
52,745,153,473,149,2.6765,88800,"NEAR BAY"
49,2272,498,1621,483,2.4338,102400,"NEAR BAY"
46,1234,375,1183,354,2.3309,98700,"NEAR BAY"
43,1017,328,836,277,2.2604,1e+05,"NEAR BAY"
42,932,254,900,263,1.8039,92300,"NEAR BAY"
39,2689,597,1888,537,2.2562,94800,"NEAR BAY"
41,1547,415,1024,341,2.0562,102000,"NEAR BAY"
52,2300,443,1225,423,3.5398,158400,"NEAR BAY"
39,1752,399,1071,376,3.1167,121600,"NEAR BAY"
50,1867,403,1128,378,2.5401,129100,"NEAR BAY"
43,2430,502,1537,484,2.898,121400,"NEAR BAY"
44,1729,414,1240,393,2.3125,102800,"NEAR BAY"
52,1026,180,469,168,2.875,160000,"NEAR BAY"
52,2170,428,1086,425,3.3715,143900,"NEAR BAY"
52,2329,445,1144,417,3.5114,151200,"NEAR BAY"
52,2492,415,1109,375,4.3125,164400,"NEAR BAY"
52,2198,397,984,369,3.22,156500,"NEAR BAY"
33,142,31,575,47,3.875,225000,"NEAR BAY"
49,1183,205,496,209,5.2328,174200,"NEAR BAY"
52,1070,193,555,190,3.7262,166900,"NEAR BAY"
45,1766,332,869,327,4.5893,163500,"NEAR BAY"
39,617,95,236,106,5.2578,253000,"NEAR BAY"
41,1411,233,626,214,7.0875,240700,"NEAR BAY"
46,2109,387,922,329,3.9712,208100,"NEAR BAY"
47,1229,243,582,256,2.9514,198100,"NEAR BAY"
50,954,217,546,201,2.6667,172800,"NEAR BAY"
37,1643,262,620,266,5.4446,336700,"NEAR BAY"
34,1355,195,442,195,6.2838,318200,"NEAR BAY"
23,2317,336,955,328,6.7527,285800,"NEAR BAY"
24,2459,317,916,324,7.0712,293000,"NEAR BAY"
22,12842,2048,4985,1967,5.9849,371000,"NEAR BAY"
42,1524,260,651,267,3.6875,157300,"NEAR BAY"
30,3326,746,1704,703,2.875,135300,"NEAR BAY"
43,1985,440,1085,407,3.4205,136700,"NEAR BAY"
50,1642,322,713,284,3.2984,160700,"NEAR BAY"
49,893,177,468,181,3.875,140600,"NEAR BAY"
52,653,128,296,121,4.175,144000,"NEAR BAY"
48,977,194,446,180,4.7708,156300,"NEAR BAY"
45,2324,397,968,384,3.5739,176000,"NEAR BAY"
39,1583,349,857,316,3.0958,145800,"NEAR BAY"
39,1612,342,912,322,3.3958,141900,"NEAR BAY"
31,2424,533,1360,452,1.871,90700,"NEAR BAY"
41,1594,367,1074,355,1.9356,90600,"NEAR BAY"
47,2118,413,965,382,2.1842,107900,"NEAR BAY"
37,1575,358,933,320,2.2917,107000,"NEAR BAY"
38,1764,397,987,354,2.4333,98200,"NEAR BAY"
50,1187,261,907,246,1.9479,89500,"NEAR BAY"
52,754,175,447,165,3.9063,93800,"NEAR BAY"
49,2308,452,1299,451,1.8407,96700,"NEAR BAY"
27,909,236,396,157,2.0786,97500,"NEAR BAY"
42,1180,257,877,268,2.8125,97300,"NEAR BAY"
43,2018,408,1111,367,1.8913,91200,"NEAR BAY"
49,1368,282,790,269,1.7056,91400,"NEAR BAY"
52,2744,547,1479,554,2.2768,96200,"NEAR BAY"
51,2107,471,1173,438,3.2552,120100,"NEAR BAY"
52,1748,362,1029,366,2.0556,1e+05,"NEAR BAY"
52,2024,391,1030,350,2.4659,94700,"NEAR BAY"
47,1116,259,826,279,1.75,85700,"NEAR BAY"
41,2036,510,1412,454,2.0469,89300,"NEAR BAY"
45,1852,393,1132,349,2.7159,101400,"NEAR BAY"
41,921,207,522,159,1.2083,72500,"NEAR BAY"
45,995,238,630,237,1.925,74100,"NEAR BAY"
36,606,132,531,133,1.5809,70000,"NEAR BAY"
37,2680,736,1925,667,1.4097,84600,"NEAR BAY"
38,1493,370,1144,351,0.7683,81800,"NEAR BAY"
19,2207,565,1481,520,1.3194,81400,"NEAR BAY"
28,856,189,435,162,0.8012,81800,"NEAR BAY"
26,1293,297,984,303,1.9479,85800,"NEAR BAY"
36,847,212,567,159,1.1765,87100,"NEAR BAY"
42,541,154,380,123,2.3456,83500,"NEAR BAY"
44,1066,253,825,244,2.1538,79700,"NEAR BAY"
43,707,147,417,155,2.5139,83400,"NEAR BAY"
45,1528,291,801,287,1.2625,84700,"NEAR BAY"
42,909,215,646,198,2.9063,80000,"NEAR BAY"
43,1391,293,855,285,2.5192,76400,"NEAR BAY"
44,548,119,435,136,2.1111,79700,"NEAR BAY"
42,4074,874,2736,780,2.455,82400,"NEAR BAY"
41,1613,445,1481,414,2.4028,97700,"NEAR BAY"
47,463,134,327,137,2.15,97200,"NEAR BAY"
43,818,193,494,179,2.4776,101600,"NEAR BAY"
43,1473,371,1231,341,2.1587,86500,"NEAR BAY"
35,504,126,323,109,1.8438,90500,"NEAR BAY"
46,1026,226,749,225,3.0298,107600,"NEAR BAY"
46,769,183,693,178,2.25,84200,"NEAR BAY"
46,2103,391,1339,354,2.2467,88900,"NEAR BAY"
45,330,76,282,80,4.0469,80700,"NEAR BAY"
46,941,218,621,195,1.325,87100,"NEAR BAY"
45,990,261,901,260,2.1731,82000,"NEAR BAY"
36,1126,263,482,150,1.9167,82800,"NEAR BAY"
43,1036,233,652,213,2.069,84600,"NEAR BAY"
36,1047,214,651,166,1.712,82100,"NEAR BAY"
33,1280,307,999,286,2.5625,89300,"NEAR BAY"
43,1587,320,907,306,1.9821,98300,"NEAR BAY"
41,1257,271,828,230,2.5043,92300,"NEAR BAY"
44,1218,248,763,254,2.3281,88800,"NEAR BAY"
48,1751,390,935,349,1.4375,90000,"NEAR BAY"
45,2299,514,1437,484,2.5122,95500,"NEAR BAY"
38,2457,624,1516,482,1.5625,91700,"NEAR BAY"
47,998,211,597,185,3.1587,100400,"NEAR BAY"
40,1685,343,949,342,1.8426,94800,"NEAR BAY"
46,1827,307,881,302,4.6696,164300,"NEAR BAY"
36,2781,574,1438,519,2.4598,155500,"NEAR BAY"
39,1823,286,763,270,6.0749,196900,"NEAR BAY"
27,2229,365,1297,355,4.8304,279100,"NEAR BAY"
34,1513,231,545,211,5.5701,252800,"NEAR BAY"
26,3266,491,1222,533,5.37,275400,"NEAR BAY"
33,1809,261,808,219,6.86,250000,"NEAR BAY"
28,794,111,329,109,7.6923,329800,"NEAR BAY"
36,690,105,299,109,4.0313,195500,"NEAR BAY"
33,1334,200,579,202,6.8323,255900,"NEAR BAY"
30,414,54,137,50,4.975,311100,"NEAR BAY"
36,768,93,229,93,5.3602,330000,"NEAR BAY"
41,4400,666,1476,648,5,248900,"NEAR BAY"
46,954,161,429,154,2.925,142900,"NEAR BAY"
40,1445,256,849,255,3.8913,126300,"NEAR BAY"
44,1938,399,946,331,3.225,135800,"NEAR BAY"
41,856,178,571,191,3.1458,130600,"NEAR BAY"
24,1790,454,1137,386,2.537,107900,"NEAR BAY"
44,617,131,378,135,2.5568,111100,"NEAR BAY"
43,1383,275,853,272,3.5083,122000,"NEAR BAY"
49,1325,277,764,282,3.3125,118000,"NEAR BAY"
40,1227,294,928,261,1.8235,95200,"NEAR BAY"
35,667,140,406,133,3.8047,94300,"NEAR BAY"
34,1223,281,824,280,2.2917,92500,"NEAR BAY"
37,1379,287,835,259,2.4962,91800,"NEAR BAY"
43,1534,300,826,295,4.0417,109400,"NEAR BAY"
46,1029,181,567,211,3.4844,129500,"NEAR BAY"
52,771,147,355,144,4.1458,143400,"NEAR BAY"
47,824,223,533,166,2.625,98200,"NEAR BAY"
44,1097,239,609,215,2.0227,103100,"NEAR BAY"
49,1283,238,576,236,3.3333,276800,"NEAR BAY"
52,1604,263,594,286,5.338,270900,"NEAR BAY"
52,2248,422,870,377,3.4732,246200,"NEAR BAY"
38,2263,522,1027,509,3.5125,224200,"NEAR BAY"
52,1571,349,693,326,3.1375,229100,"NEAR BAY"
46,1520,402,815,375,2.8036,211600,"NEAR BAY"
15,5083,1212,2420,1146,4.5824,256100,"NEAR BAY"
36,1077,293,518,276,3.0208,206300,"NEAR BAY"
52,1248,283,620,275,4.0875,221300,"NEAR BAY"
42,1342,291,551,266,4.5268,207400,"NEAR BAY"
37,3061,930,2556,924,1.7375,350000,"NEAR BAY"
52,3171,698,1498,696,3.1795,218200,"NEAR BAY"
50,1211,261,523,227,3.8672,216700,"NEAR BAY"
52,979,175,374,153,5.1675,270600,"NEAR BAY"
52,2269,380,1004,371,5.1696,261400,"NEAR BAY"
52,1844,332,769,334,4.2614,261300,"NEAR BAY"
52,2178,421,940,423,5.0551,232200,"NEAR BAY"
42,1650,274,645,256,5.6228,375400,"NEAR BAY"
52,1927,279,705,288,7.8864,357300,"NEAR BAY"
52,2079,273,684,275,7.9556,374400,"NEAR BAY"
52,1803,240,572,236,6.174,358800,"NEAR BAY"
52,2041,270,671,253,6.9414,417500,"NEAR BAY"
52,3046,373,975,365,8.8342,430500,"NEAR BAY"
52,2318,328,779,312,7.1754,362900,"NEAR BAY"
52,2003,250,658,244,10.0825,397000,"NEAR BAY"
52,2261,328,819,335,4.9083,346800,"NEAR BAY"
52,1225,169,412,168,5.7912,327100,"NEAR BAY"
52,2315,408,835,369,4.5893,290100,"NEAR BAY"
52,2070,329,722,306,5.4171,292000,"NEAR BAY"
52,2616,473,1085,487,4.125,270900,"NEAR BAY"
52,2640,366,973,355,7.266,371100,"NEAR BAY"
52,1978,293,723,272,5.3989,335600,"NEAR BAY"
37,2220,335,903,362,7.8336,371300,"NEAR BAY"
41,1125,195,356,181,6.1593,344000,"NEAR BAY"
52,3078,494,1005,462,6.381,342200,"NEAR BAY"
52,3706,531,1205,504,6.6828,370900,"NEAR BAY"
37,3000,457,987,450,7.5385,350000,"NEAR BAY"
42,2863,460,1031,448,6.7138,368600,"NEAR BAY"
52,2551,417,894,404,6.2425,391800,"NEAR BAY"
52,2255,410,823,377,5.7979,415300,"NEAR BAY"
52,3360,648,1232,621,4.2813,284900,"NEAR BAY"
52,1693,391,669,367,3.5417,287500,"NEAR BAY"
44,2252,592,989,550,3.0132,272900,"NEAR BAY"
52,2495,491,1058,464,4.1429,259600,"NEAR BAY"
52,1193,200,506,207,4.1912,254500,"NEAR BAY"
52,1172,215,489,218,3.9167,235600,"NEAR BAY"
52,2159,424,824,388,3.8897,218400,"NEAR BAY"
48,2365,490,1034,475,3.1065,229200,"NEAR BAY"
46,1895,442,920,425,2.9926,192100,"NEAR BAY"
52,1650,395,841,380,3.556,179300,"NEAR BAY"
45,453,146,749,137,1.475,187500,"NEAR BAY"
52,409,97,208,98,1.6971,138800,"NEAR BAY"
10,503,118,228,100,2.1705,150000,"NEAR BAY"
50,499,127,287,128,2.75,140600,"NEAR BAY"
52,477,119,218,106,2.5682,120000,"NEAR BAY"
46,1647,376,854,355,2.9,144800,"NEAR BAY"
52,3123,749,1695,684,2.2208,144800,"NEAR BAY"
52,957,188,403,172,3.2344,245500,"NEAR BAY"
52,589,132,288,131,3.5156,2e+05,"NEAR BAY"
49,2026,548,963,521,1.9805,173700,"NEAR BAY"
50,1829,536,1129,516,2.6684,185600,"NEAR BAY"
52,895,198,386,204,3.875,182600,"NEAR BAY"
52,1909,416,811,406,3.006,227900,"NEAR BAY"
46,3022,696,1293,675,2.543,220700,"NEAR BAY"
46,1777,446,805,431,2.8676,212000,"NEAR BAY"
52,2803,930,1372,876,2.1907,271400,"NEAR BAY"
30,1465,439,862,425,1.7778,268800,"NEAR BAY"
37,2619,682,1152,616,2.52,277800,"NEAR BAY"
52,1149,255,483,249,4.2788,332500,"NEAR BAY"
52,2363,604,1558,573,2.944,338900,"NEAR BAY"
52,2604,837,1798,769,1.725,287500,"NEAR BAY"
41,685,141,266,123,5.2289,384600,"NEAR BAY"
42,1756,465,2184,422,2.5562,371400,"NEAR BAY"
